"GEO_ID","NAME","B08141_001E","B08141_001M","B08141_002E","B08141_002M","B08141_003E","B08141_003M","B08141_004E","B08141_004M","B08141_005E","B08141_005M","B08141_006E","B08141_006M","B08141_007E","B08141_007M","B08141_008E","B08141_008M","B08141_009E","B08141_009M","B08141_010E","B08141_010M","B08141_011E","B08141_011M","B08141_012E","B08141_012M","B08141_013E","B08141_013M","B08141_014E","B08141_014M","B08141_015E","B08141_015M","B08141_016E","B08141_016M","B08141_017E","B08141_017M","B08141_018E","B08141_018M","B08141_019E","B08141_019M","B08141_020E","B08141_020M","B08141_021E","B08141_021M","B08141_022E","B08141_022M","B08141_023E","B08141_023M","B08141_024E","B08141_024M","B08141_025E","B08141_025M","B08141_026E","B08141_026M","B08141_027E","B08141_027M","B08141_028E","B08141_028M","B08141_029E","B08141_029M","B08141_030E","B08141_030M","B08141_031E","B08141_031M","B08141_032E","B08141_032M","B08141_033E","B08141_033M","B08141_034E","B08141_034M","B08141_035E","B08141_035M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No vehicle available","Margin of Error!!Total:!!No vehicle available","Estimate!!Total:!!1 vehicle available","Margin of Error!!Total:!!1 vehicle available","Estimate!!Total:!!2 vehicles available","Margin of Error!!Total:!!2 vehicles available","Estimate!!Total:!!3 or more vehicles available","Margin of Error!!Total:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!3 or more vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!No vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!1 vehicle available","Estimate!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!2 vehicles available","Estimate!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!3 or more vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!No vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!1 vehicle available","Estimate!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!2 vehicles available","Estimate!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!3 or more vehicles available","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!No vehicle available","Margin of Error!!Total:!!Walked:!!No vehicle available","Estimate!!Total:!!Walked:!!1 vehicle available","Margin of Error!!Total:!!Walked:!!1 vehicle available","Estimate!!Total:!!Walked:!!2 vehicles available","Margin of Error!!Total:!!Walked:!!2 vehicles available","Estimate!!Total:!!Walked:!!3 or more vehicles available","Margin of Error!!Total:!!Walked:!!3 or more vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!No vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!1 vehicle available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!2 vehicles available","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!3 or more vehicles available","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!No vehicle available","Margin of Error!!Total:!!Worked from home:!!No vehicle available","Estimate!!Total:!!Worked from home:!!1 vehicle available","Margin of Error!!Total:!!Worked from home:!!1 vehicle available","Estimate!!Total:!!Worked from home:!!2 vehicles available","Margin of Error!!Total:!!Worked from home:!!2 vehicles available","Estimate!!Total:!!Worked from home:!!3 or more vehicles available","Margin of Error!!Total:!!Worked from home:!!3 or more vehicles available",
"1400000US39049000110","Census Tract 1.10; Franklin County; Ohio","2245","304","0","13","532","269","1352","232","361","167","1551","197","0","13","296","94","990","181","265","115","56","38","0","13","0","13","42","33","14","22","9","15","0","13","0","13","9","15","0","13","9","13","0","13","0","13","9","13","0","13","157","225","0","13","157","225","0","13","0","13","463","148","0","13","79","46","302","111","82","101",
"1400000US39049000120","Census Tract 1.20; Franklin County; Ohio","1962","248","87","84","427","167","1155","277","293","122","1114","183","0","13","197","60","716","189","201","91","43","34","0","13","3","6","32","30","8","14","36","36","28","34","8","13","0","13","0","13","19","17","0","13","0","13","19","17","0","13","16","17","0","13","16","17","0","13","0","13","734","199","59","59","203","135","388","164","84","45",
"1400000US39049000210","Census Tract 2.10; Franklin County; Ohio","1949","288","117","113","583","262","850","164","399","135","978","166","0","13","173","76","478","115","327","132","124","125","0","13","89","121","35","31","0","13","130","108","88","109","17","22","25","26","0","13","52","42","20","30","6","10","26","28","0","13","52","42","9","14","21","32","22","25","0","13","613","180","0","13","277","155","264","96","72","55",
"1400000US39049000220","Census Tract 2.20; Franklin County; Ohio","2405","213","21","25","502","137","1499","230","383","174","1530","226","9","16","236","89","958","170","327","173","153","90","0","13","35","38","118","82","0","13","39","37","0","13","39","37","0","13","0","13","31","28","0","13","10","16","21","23","0","13","76","52","12","19","25","22","30","37","9","13","576","130","0","13","157","93","372","118","47","33",
"1400000US39049000310","Census Tract 3.10; Franklin County; Ohio","1397","185","0","13","399","140","663","146","335","115","979","178","0","13","195","89","527","139","257","106","177","110","0","13","113","90","29","26","35","47","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","23","0","13","0","13","0","13","18","23","223","105","0","13","91","80","107","51","25","25",
"1400000US39049000320","Census Tract 3.20; Franklin County; Ohio","1565","439","43","50","442","305","648","197","432","313","1274","436","9","15","406","305","490","160","369","310","146","104","26","42","5","9","61","83","54","51","0","13","0","13","0","13","0","13","0","13","20","33","0","13","0","13","20","33","0","13","16","18","0","13","0","13","16","18","0","13","109","50","8","13","31","30","61","40","9","14",
"1400000US39049000330","Census Tract 3.30; Franklin County; Ohio","1125","260","0","13","474","156","334","144","317","216","730","211","0","13","292","109","263","139","175","124","153","131","0","13","93","107","31","39","29","48","28","39","0","13","28","39","0","13","0","13","26","31","0","13","6","9","20","29","0","13","29","32","0","13","29","32","0","13","0","13","159","131","0","13","26","25","20","26","113","129",
"1400000US39049000410","Census Tract 4.10; Franklin County; Ohio","1666","150","56","44","502","136","928","183","180","84","1002","148","20","31","208","90","662","148","112","75","56","47","0","13","0","13","18","18","38","44","94","61","13","23","55","64","19","14","7","11","81","47","15","17","14","16","52","43","0","13","55","38","0","13","7","11","39","37","9","14","378","104","8","12","218","84","138","65","14","19",
"1400000US39049000420","Census Tract 4.20; Franklin County; Ohio","2126","416","36","48","468","168","1219","376","403","130","1377","247","0","13","267","79","753","219","357","130","78","55","36","48","0","13","34","30","8","19","16","21","0","13","0","13","16","21","0","13","6","9","0","13","0","13","6","9","0","13","52","55","0","13","4","6","48","55","0","13","597","229","0","13","197","139","362","188","38","35",
"1400000US39049000500","Census Tract 5; Franklin County; Ohio","2788","585","103","84","931","255","1335","361","419","426","1333","368","0","13","388","125","721","276","224","270","172","162","0","13","104","124","0","13","68","98","112","60","45","44","54","37","13","28","0","13","56","73","0","13","56","73","0","13","0","13","90","70","11","16","14","23","65","64","0","13","1025","332","47","71","315","172","536","270","127","136",
"1400000US39049000600","Census Tract 6; Franklin County; Ohio","3012","354","126","77","898","186","1003","254","985","391","2118","298","52","50","696","152","621","198","749","329","46","33","0","13","20","23","26","23","0","13","124","80","71","67","16","14","37","45","0","13","119","88","3","6","32","32","0","13","84","79","25","30","0","13","25","30","0","13","0","13","580","165","0","13","109","55","319","156","152","94",
"1400000US39049000710","Census Tract 7.10; Franklin County; Ohio","1653","383","117","110","573","170","749","329","214","142","1061","261","37","59","410","140","497","201","117","87","223","118","28","53","42","60","90","76","63","59","82","65","27","40","8","13","13","23","34","53","113","102","25","41","88","90","0","13","0","13","0","13","0","13","0","13","0","13","0","13","174","147","0","13","25","40","149","144","0","13",
"1400000US39049000720","Census Tract 7.20; Franklin County; Ohio","997","176","127","102","227","87","296","153","347","143","641","152","0","13","193","79","161","74","287","136","112","88","0","13","9","14","77","67","26","33","64","78","64","78","0","13","0","13","0","13","38","41","38","41","0","13","0","13","0","13","25","41","25","41","0","13","0","13","0","13","117","64","0","13","25","40","58","48","34","33",
"1400000US39049000730","Census Tract 7.30; Franklin County; Ohio","1182","365","441","305","304","142","282","213","155","162","587","224","35","57","297","143","178","143","77","114","251","253","227","252","0","13","24","40","0","13","112","82","84","75","7","12","0","13","21","36","0","13","0","13","0","13","0","13","0","13","136","96","56","61","0","13","80","80","0","13","96","81","39","46","0","13","0","13","57","74",
"1400000US39049000810","Census Tract 8.10; Franklin County; Ohio","1195","310","10","16","270","105","600","282","315","203","927","283","0","13","215","90","516","276","196","119","74","64","0","13","22","37","0","13","52","57","23","27","0","13","0","13","13","21","10","16","10","16","10","16","0","13","0","13","0","13","37","32","0","13","6","10","20","24","11","17","124","65","0","13","27","31","51","44","46","45",
