"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"1400000US39049006000","Census Tract 60; Franklin County; Ohio","2224",
"1400000US39049006100","Census Tract 61; Franklin County; Ohio","2534",
"1400000US39049006236","Census Tract 62.36; Franklin County; Ohio","6192",
"1400000US39049006237","Census Tract 62.37; Franklin County; Ohio","5953",
"1400000US39049006238","Census Tract 62.38; Franklin County; Ohio","1892",
"1400000US39049006239","Census Tract 62.39; Franklin County; Ohio","6516",
"1400000US39049006240","Census Tract 62.40; Franklin County; Ohio","5998",
"1400000US39049006241","Census Tract 62.41; Franklin County; Ohio","9531",
"1400000US39049006301","Census Tract 63.01; Franklin County; Ohio","3155",
"1400000US39049006302","Census Tract 63.02; Franklin County; Ohio","4613",
"1400000US39049006310","Census Tract 63.10; Franklin County; Ohio","4857",
"1400000US39049006321","Census Tract 63.21; Franklin County; Ohio","4436",
"1400000US39049006323","Census Tract 63.23; Franklin County; Ohio","3570",
"1400000US39049006330","Census Tract 63.30; Franklin County; Ohio","4941",
"1400000US39049006340","Census Tract 63.40; Franklin County; Ohio","3392",
"1400000US39049006351","Census Tract 63.51; Franklin County; Ohio","4116",
"1400000US39049006352","Census Tract 63.52; Franklin County; Ohio","3290",
"1400000US39049006353","Census Tract 63.53; Franklin County; Ohio","4806",
"1400000US39049006372","Census Tract 63.72; Franklin County; Ohio","7614",
"1400000US39049006384","Census Tract 63.84; Franklin County; Ohio","6276",
"1400000US39049006386","Census Tract 63.86; Franklin County; Ohio","6014",
"1400000US39049006387","Census Tract 63.87; Franklin County; Ohio","6512",
"1400000US39049006391","Census Tract 63.91; Franklin County; Ohio","5664",
"1400000US39049006392","Census Tract 63.92; Franklin County; Ohio","4644",
"1400000US39049006393","Census Tract 63.93; Franklin County; Ohio","5343",
"1400000US39049006394","Census Tract 63.94; Franklin County; Ohio","2753",
"1400000US39049006395","Census Tract 63.95; Franklin County; Ohio","3713",
"1400000US39049006396","Census Tract 63.96; Franklin County; Ohio","5472",
"1400000US39049006397","Census Tract 63.97; Franklin County; Ohio","6680",
"1400000US39049006398","Census Tract 63.98; Franklin County; Ohio","3592",
"1400000US39049006410","Census Tract 64.10; Franklin County; Ohio","2943",
"1400000US39049006430","Census Tract 64.30; Franklin County; Ohio","4946",
"1400000US39049006500","Census Tract 65; Franklin County; Ohio","3827",
"1400000US39049006600","Census Tract 66; Franklin County; Ohio","4204",
"1400000US39049006710","Census Tract 67.10; Franklin County; Ohio","2894",
"1400000US39049006721","Census Tract 67.21; Franklin County; Ohio","3763",
"1400000US39049006722","Census Tract 67.22; Franklin County; Ohio","2953",
"1400000US39049006810","Census Tract 68.10; Franklin County; Ohio","2354",
"1400000US39049006821","Census Tract 68.21; Franklin County; Ohio","3619",
"1400000US39049006822","Census Tract 68.22; Franklin County; Ohio","1907",
"1400000US39049006910","Census Tract 69.10; Franklin County; Ohio","1698",
"1400000US39049006921","Census Tract 69.21; Franklin County; Ohio","3861",
"1400000US39049006923","Census Tract 69.23; Franklin County; Ohio","3957",
"1400000US39049006924","Census Tract 69.24; Franklin County; Ohio","4245",
"1400000US39049006931","Census Tract 69.31; Franklin County; Ohio","6882",
"1400000US39049006932","Census Tract 69.32; Franklin County; Ohio","7121",
"1400000US39049006933","Census Tract 69.33; Franklin County; Ohio","7124",
"1400000US39049006943","Census Tract 69.43; Franklin County; Ohio","4677",
