"Column Name","Label"
"B08119_038M","Margin of Error!!Total:!!Walked:!!$1 to $9,999 or loss"
"B08119_039E","Estimate!!Total:!!Walked:!!$10,000 to $14,999"
"B08119_039M","Margin of Error!!Total:!!Walked:!!$10,000 to $14,999"
"B08119_040E","Estimate!!Total:!!Walked:!!$15,000 to $24,999"
"B08119_040M","Margin of Error!!Total:!!Walked:!!$15,000 to $24,999"
"B08119_041E","Estimate!!Total:!!Walked:!!$25,000 to $34,999"
"B08119_041M","Margin of Error!!Total:!!Walked:!!$25,000 to $34,999"
"B08119_042E","Estimate!!Total:!!Walked:!!$35,000 to $49,999"
"B08119_042M","Margin of Error!!Total:!!Walked:!!$35,000 to $49,999"
"B08119_043E","Estimate!!Total:!!Walked:!!$50,000 to $64,999"
"B08119_043M","Margin of Error!!Total:!!Walked:!!$50,000 to $64,999"
"B08119_044E","Estimate!!Total:!!Walked:!!$65,000 to $74,999"
"B08119_044M","Margin of Error!!Total:!!Walked:!!$65,000 to $74,999"
"B08119_045E","Estimate!!Total:!!Walked:!!$75,000 or more"
"B08119_045M","Margin of Error!!Total:!!Walked:!!$75,000 or more"
"B08119_046E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08119_046M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:"
"B08119_047E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$1 to $9,999 or loss"
"B08119_047M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$1 to $9,999 or loss"
"B08119_048E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$10,000 to $14,999"
"B08119_048M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$10,000 to $14,999"
"B08119_049E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$15,000 to $24,999"
"B08119_049M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$15,000 to $24,999"
"B08119_050E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$25,000 to $34,999"
"B08119_050M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$25,000 to $34,999"
"B08119_051E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$35,000 to $49,999"
"B08119_051M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$35,000 to $49,999"
"B08119_052E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$50,000 to $64,999"
"B08119_052M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$50,000 to $64,999"
"B08119_053E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$65,000 to $74,999"
"B08119_053M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$65,000 to $74,999"
"B08119_054E","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$75,000 or more"
"B08119_054M","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$75,000 or more"
"B08119_055E","Estimate!!Total:!!Worked from home:"
"B08119_055M","Margin of Error!!Total:!!Worked from home:"
"B08119_056E","Estimate!!Total:!!Worked from home:!!$1 to $9,999 or loss"
"B08119_056M","Margin of Error!!Total:!!Worked from home:!!$1 to $9,999 or loss"
"B08119_057E","Estimate!!Total:!!Worked from home:!!$10,000 to $14,999"
"B08119_057M","Margin of Error!!Total:!!Worked from home:!!$10,000 to $14,999"
"B08119_058E","Estimate!!Total:!!Worked from home:!!$15,000 to $24,999"
"B08119_058M","Margin of Error!!Total:!!Worked from home:!!$15,000 to $24,999"
"B08119_059E","Estimate!!Total:!!Worked from home:!!$25,000 to $34,999"
"B08119_059M","Margin of Error!!Total:!!Worked from home:!!$25,000 to $34,999"
"B08119_060E","Estimate!!Total:!!Worked from home:!!$35,000 to $49,999"
"B08119_060M","Margin of Error!!Total:!!Worked from home:!!$35,000 to $49,999"
"B08119_061E","Estimate!!Total:!!Worked from home:!!$50,000 to $64,999"
"B08119_061M","Margin of Error!!Total:!!Worked from home:!!$50,000 to $64,999"
"B08119_062E","Estimate!!Total:!!Worked from home:!!$65,000 to $74,999"
"B08119_062M","Margin of Error!!Total:!!Worked from home:!!$65,000 to $74,999"
"B08119_063E","Estimate!!Total:!!Worked from home:!!$75,000 or more"
"B08119_063M","Margin of Error!!Total:!!Worked from home:!!$75,000 or more"
