"GEO_ID","NAME","B08119_001E","B08119_001M","B08119_002E","B08119_002M","B08119_003E","B08119_003M","B08119_004E","B08119_004M","B08119_005E","B08119_005M","B08119_006E","B08119_006M","B08119_007E","B08119_007M","B08119_008E","B08119_008M","B08119_009E","B08119_009M","B08119_010E","B08119_010M","B08119_011E","B08119_011M","B08119_012E","B08119_012M","B08119_013E","B08119_013M","B08119_014E","B08119_014M","B08119_015E","B08119_015M","B08119_016E","B08119_016M","B08119_017E","B08119_017M","B08119_018E","B08119_018M","B08119_019E","B08119_019M","B08119_020E","B08119_020M","B08119_021E","B08119_021M","B08119_022E","B08119_022M","B08119_023E","B08119_023M","B08119_024E","B08119_024M","B08119_025E","B08119_025M","B08119_026E","B08119_026M","B08119_027E","B08119_027M","B08119_028E","B08119_028M","B08119_029E","B08119_029M","B08119_030E","B08119_030M","B08119_031E","B08119_031M","B08119_032E","B08119_032M","B08119_033E","B08119_033M","B08119_034E","B08119_034M","B08119_035E","B08119_035M","B08119_036E","B08119_036M","B08119_037E","B08119_037M","B08119_038E","B08119_038M","B08119_039E","B08119_039M","B08119_040E","B08119_040M","B08119_041E","B08119_041M","B08119_042E","B08119_042M","B08119_043E","B08119_043M","B08119_044E","B08119_044M","B08119_045E","B08119_045M","B08119_046E","B08119_046M","B08119_047E","B08119_047M","B08119_048E","B08119_048M","B08119_049E","B08119_049M","B08119_050E","B08119_050M","B08119_051E","B08119_051M","B08119_052E","B08119_052M","B08119_053E","B08119_053M","B08119_054E","B08119_054M","B08119_055E","B08119_055M","B08119_056E","B08119_056M","B08119_057E","B08119_057M","B08119_058E","B08119_058M","B08119_059E","B08119_059M","B08119_060E","B08119_060M","B08119_061E","B08119_061M","B08119_062E","B08119_062M","B08119_063E","B08119_063M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!$1 to $9,999 or loss","Margin of Error!!Total:!!$1 to $9,999 or loss","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $24,999","Margin of Error!!Total:!!$15,000 to $24,999","Estimate!!Total:!!$25,000 to $34,999","Margin of Error!!Total:!!$25,000 to $34,999","Estimate!!Total:!!$35,000 to $49,999","Margin of Error!!Total:!!$35,000 to $49,999","Estimate!!Total:!!$50,000 to $64,999","Margin of Error!!Total:!!$50,000 to $64,999","Estimate!!Total:!!$65,000 to $74,999","Margin of Error!!Total:!!$65,000 to $74,999","Estimate!!Total:!!$75,000 or more","Margin of Error!!Total:!!$75,000 or more","Estimate!!Total:!!Car, truck, or van - drove alone:","Margin of Error!!Total:!!Car, truck, or van - drove alone:","Estimate!!Total:!!Car, truck, or van - drove alone:!!$1 to $9,999 or loss","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$1 to $9,999 or loss","Estimate!!Total:!!Car, truck, or van - drove alone:!!$10,000 to $14,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$10,000 to $14,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$15,000 to $24,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$15,000 to $24,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$25,000 to $34,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$25,000 to $34,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$35,000 to $49,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$35,000 to $49,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$50,000 to $64,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$50,000 to $64,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$65,000 to $74,999","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$65,000 to $74,999","Estimate!!Total:!!Car, truck, or van - drove alone:!!$75,000 or more","Margin of Error!!Total:!!Car, truck, or van - drove alone:!!$75,000 or more","Estimate!!Total:!!Car, truck, or van - carpooled:","Margin of Error!!Total:!!Car, truck, or van - carpooled:","Estimate!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss","Estimate!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$65,000 to $74,999","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$65,000 to $74,999","Estimate!!Total:!!Car, truck, or van - carpooled:!!$75,000 or more","Margin of Error!!Total:!!Car, truck, or van - carpooled:!!$75,000 or more","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!$1 to $9,999 or loss","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$1 to $9,999 or loss","Estimate!!Total:!!Public transportation (excluding taxicab):!!$10,000 to $14,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$10,000 to $14,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$15,000 to $24,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$15,000 to $24,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$25,000 to $34,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$25,000 to $34,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$35,000 to $49,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$35,000 to $49,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$50,000 to $64,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$50,000 to $64,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$65,000 to $74,999","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$65,000 to $74,999","Estimate!!Total:!!Public transportation (excluding taxicab):!!$75,000 or more","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!$75,000 or more","Estimate!!Total:!!Walked:","Margin of Error!!Total:!!Walked:","Estimate!!Total:!!Walked:!!$1 to $9,999 or loss","Margin of Error!!Total:!!Walked:!!$1 to $9,999 or loss","Estimate!!Total:!!Walked:!!$10,000 to $14,999","Margin of Error!!Total:!!Walked:!!$10,000 to $14,999","Estimate!!Total:!!Walked:!!$15,000 to $24,999","Margin of Error!!Total:!!Walked:!!$15,000 to $24,999","Estimate!!Total:!!Walked:!!$25,000 to $34,999","Margin of Error!!Total:!!Walked:!!$25,000 to $34,999","Estimate!!Total:!!Walked:!!$35,000 to $49,999","Margin of Error!!Total:!!Walked:!!$35,000 to $49,999","Estimate!!Total:!!Walked:!!$50,000 to $64,999","Margin of Error!!Total:!!Walked:!!$50,000 to $64,999","Estimate!!Total:!!Walked:!!$65,000 to $74,999","Margin of Error!!Total:!!Walked:!!$65,000 to $74,999","Estimate!!Total:!!Walked:!!$75,000 or more","Margin of Error!!Total:!!Walked:!!$75,000 or more","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$1 to $9,999 or loss","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$1 to $9,999 or loss","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$10,000 to $14,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$10,000 to $14,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$15,000 to $24,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$15,000 to $24,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$25,000 to $34,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$25,000 to $34,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$35,000 to $49,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$35,000 to $49,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$50,000 to $64,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$50,000 to $64,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$65,000 to $74,999","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$65,000 to $74,999","Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$75,000 or more","Margin of Error!!Total:!!Taxicab, motorcycle, bicycle, or other means:!!$75,000 or more","Estimate!!Total:!!Worked from home:","Margin of Error!!Total:!!Worked from home:","Estimate!!Total:!!Worked from home:!!$1 to $9,999 or loss","Margin of Error!!Total:!!Worked from home:!!$1 to $9,999 or loss","Estimate!!Total:!!Worked from home:!!$10,000 to $14,999","Margin of Error!!Total:!!Worked from home:!!$10,000 to $14,999","Estimate!!Total:!!Worked from home:!!$15,000 to $24,999","Margin of Error!!Total:!!Worked from home:!!$15,000 to $24,999","Estimate!!Total:!!Worked from home:!!$25,000 to $34,999","Margin of Error!!Total:!!Worked from home:!!$25,000 to $34,999","Estimate!!Total:!!Worked from home:!!$35,000 to $49,999","Margin of Error!!Total:!!Worked from home:!!$35,000 to $49,999","Estimate!!Total:!!Worked from home:!!$50,000 to $64,999","Margin of Error!!Total:!!Worked from home:!!$50,000 to $64,999","Estimate!!Total:!!Worked from home:!!$65,000 to $74,999","Margin of Error!!Total:!!Worked from home:!!$65,000 to $74,999","Estimate!!Total:!!Worked from home:!!$75,000 or more","Margin of Error!!Total:!!Worked from home:!!$75,000 or more",
"1400000US39049000110","Census Tract 1.10; Franklin County; Ohio","2245","304","130","45","88","37","100","52","65","41","225","77","388","149","240","119","1009","279","1551","197","96","42","73","36","87","49","48","35","202","75","245","95","163","84","637","140","56","38","12","14","3","7","0","13","10","15","0","13","14","22","0","13","17","22","9","15","9","15","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","13","0","13","9","13","0","13","0","13","0","13","0","13","0","13","0","13","157","225","0","13","0","13","6","10","0","13","0","13","0","13","0","13","151","225","463","148","13","15","3","5","7","11","7","13","23","24","129","101","77","52","204","75",
"1400000US39049000120","Census Tract 1.20; Franklin County; Ohio","1963","248","188","80","20","16","79","56","69","45","227","108","116","63","106","71","1158","208","1114","183","102","51","8","12","48","37","22","21","114","66","100","57","78","63","642","110","43","34","8","14","11","16","0","13","0","13","0","13","0","13","11","17","13","18","36","36","0","13","0","13","0","13","28","34","0","13","0","13","0","13","8","13","20","17","0","13","1","2","0","13","19","17","0","13","0","13","0","13","0","13","16","17","0","13","0","13","0","13","0","13","8","12","0","13","0","13","8","13","734","199","78","60","0","13","31","29","0","13","105","93","16","18","17","19","487","185",
"1400000US39049000210","Census Tract 2.10; Franklin County; Ohio","1949","288","90","68","45","37","140","74","166","131","209","125","123","59","127","56","1049","178","978","166","43","34","21","28","84","58","25","30","71","48","79","48","109","53","546","119","124","125","0","13","11","18","0","13","78","118","12","18","0","13","0","13","23","25","130","108","0","13","0","13","0","13","0","13","62","98","0","13","0","13","68","50","52","42","13","19","13","21","6","10","0","13","20","30","0","13","0","13","0","13","52","42","0","13","0","13","0","13","9","14","0","13","0","13","0","13","43","40","613","180","34","44","0","13","50","47","54","51","44","48","44","36","18","21","369","146",
"1400000US39049000220","Census Tract 2.20; Franklin County; Ohio","2405","213","206","89","85","59","168","81","83","42","245","85","365","105","116","61","1137","174","1530","226","121","61","76","58","79","42","62","37","118","57","274","89","75","49","725","164","153","90","31","36","0","13","42","64","0","13","24","27","4","7","0","13","52","37","39","37","0","13","0","13","0","13","0","13","10","16","21","32","0","13","8","12","31","28","8","12","0","13","0","13","0","13","0","13","0","13","10","16","13","20","76","52","6","10","0","13","9","13","0","13","19","22","0","13","10","16","32","37","576","130","40","35","9","13","38","33","21","24","74","63","66","62","21","23","307","86",
"1400000US39049000310","Census Tract 3.10; Franklin County; Ohio","1397","185","123","88","104","53","166","92","170","88","289","92","315","110","98","69","132","64","979","178","23","23","37","28","149","97","74","56","223","83","282","102","86","71","105","57","177","110","69","79","55","41","17","20","18","24","6","11","0","13","12","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","23","9","17","0","13","0","13","9","15","0","13","0","13","0","13","0","13","223","105","22","23","12","20","0","13","69","76","60","43","33","27","0","13","27","29",
"1400000US39049000320","Census Tract 3.20; Franklin County; Ohio","1565","439","154","155","69","60","53","38","274","106","527","344","223","97","87","59","178","87","1274","436","148","154","47","55","32","25","221","104","452","339","180","92","46","56","148","84","146","104","0","13","22","25","0","13","33","45","46","51","28","37","9","14","8","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","20","33","0","13","0","13","0","13","0","13","20","33","0","13","0","13","0","13","16","18","0","13","0","13","0","13","0","13","9","14","7","10","0","13","0","13","109","50","6","11","0","13","21","27","20","22","0","13","8","11","32","35","22","17",
"1400000US39049000330","Census Tract 3.30; Franklin County; Ohio","1125","260","125","86","53","41","71","60","308","115","316","137","145","95","28","25","79","58","730","211","67","48","41","39","71","60","177","98","227","105","94","86","19","20","34","34","153","131","6","9","0","13","0","13","45","55","69","101","27","34","0","13","6","10","28","39","0","13","0","13","0","13","28","39","0","13","0","13","0","13","0","13","26","31","0","13","0","13","0","13","0","13","20","29","0","13","0","13","6","9","29","32","0","13","0","13","0","13","11","16","0","13","18","28","0","13","0","13","159","131","52","48","12","19","0","13","47","54","0","13","6","15","9","17","33","42",
"1400000US39049000410","Census Tract 4.10; Franklin County; Ohio","1666","150","30","24","53","49","183","89","96","53","326","104","376","139","68","37","534","142","1002","148","21","21","0","13","94","72","74","48","194","71","218","88","24","23","377","119","56","47","9","13","17","26","9","14","0","13","9","15","12","20","0","13","0","13","94","61","0","13","0","13","24","18","7","11","0","13","63","64","0","13","0","13","81","47","0","13","25","24","14","17","0","13","12","18","7","11","0","13","23","33","55","38","0","13","0","13","24","27","4","7","19","21","0","13","0","13","8","13","378","104","0","13","11","18","18","17","11","17","92","70","76","72","44","32","126","54",
"1400000US39049000420","Census Tract 4.20; Franklin County; Ohio","2127","416","72","41","156","76","20","18","106","119","445","215","206","93","202","80","920","297","1377","247","44","33","93","42","20","18","31","26","271","153","141","72","151","76","626","179","78","55","6","9","52","52","0","13","4","10","12","13","0","13","0","13","4","10","16","21","14","20","0","13","0","13","0","13","0","13","0","13","2","7","0","13","7","9","0","13","0","13","0","13","0","13","7","9","0","13","0","13","0","13","52","55","0","13","0","13","0","13","0","13","37","53","0","13","8","14","7","9","597","229","8","13","11","17","0","13","71","117","118","129","65","42","41","41","283","147",
"1400000US39049000500","Census Tract 5; Franklin County; Ohio","2788","585","200","111","104","81","279","159","286","272","418","151","559","279","224","117","718","189","1333","368","44","40","39","46","68","60","199","209","189","91","388","212","141","84","265","114","172","162","0","13","35","50","56","92","33","48","0","13","48","78","0","13","0","13","112","60","0","13","30","39","20","22","11","18","20","32","18","29","13","20","0","13","56","73","0","13","0","13","38","67","0","13","0","13","18","31","0","13","0","13","90","70","25","28","0","13","10","16","0","13","46","60","0","13","0","13","9","15","1025","332","131","103","0","13","87","93","43","67","163","121","87","66","70","87","444","183",
"1400000US39049000600","Census Tract 6; Franklin County; Ohio","3012","354","429","162","238","105","294","96","360","113","631","146","409","126","152","57","499","156","2118","298","386","160","123","68","266","94","252","115","454","125","272","116","103","46","262","110","46","33","20","23","0","13","0","13","0","13","26","23","0","13","0","13","0","13","124","80","8","13","49","60","0","13","24","27","13","20","22","34","0","13","8","14","119","88","5","8","37","62","3","6","31","38","32","30","0","13","0","13","11","16","25","30","0","13","0","13","0","13","0","13","0","13","16","25","9","14","0","13","580","165","10","17","29","43","25","29","53","51","106","78","99","61","40","34","218","109",
"1400000US39049000710","Census Tract 7.10; Franklin County; Ohio","1653","383","121","63","167","108","324","124","212","136","467","290","176","103","66","60","120","70","1061","261","53","41","167","108","142","84","174","123","339","182","105","70","26","30","55","45","223","118","41","44","0","13","54","55","0","13","44","66","46","51","6","11","32","35","82","65","27","40","0","13","8","13","13","23","0","13","0","13","34","53","0","13","113","102","0","13","0","13","88","90","0","13","0","13","25","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","174","147","0","13","0","13","32","43","25","40","84","131","0","13","0","13","33","49",
"1400000US39049000720","Census Tract 7.20; Franklin County; Ohio","997","176","97","72","118","72","119","55","143","98","338","108","78","52","90","65","14","16","641","152","69","60","21","28","84","52","89","48","245","98","54","46","65","52","14","16","112","88","28","40","43","49","9","14","32","47","0","13","0","13","0","13","0","13","64","78","0","13","16","23","22","35","0","13","26","41","0","13","0","13","0","13","38","41","0","13","0","13","0","13","22","34","0","13","16","25","0","13","0","13","25","41","0","13","0","13","0","13","0","13","25","41","0","13","0","13","0","13","117","64","0","13","38","40","4","6","0","13","42","41","8","12","25","40","0","13",
"1400000US39049000730","Census Tract 7.30; Franklin County; Ohio","1182","365","121","82","65","58","241","147","241","181","399","198","46","59","36","58","33","39","587","224","35","36","20","23","82","81","134","89","265","141","11","17","36","58","4","8","251","253","0","13","24","40","50","80","68","108","74","120","35","57","0","13","0","13","112","82","26","41","21","36","35","44","0","13","30","48","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","136","96","32","49","0","13","74","77","0","13","30","46","0","13","0","13","0","13","96","81","28","37","0","13","0","13","39","46","0","13","0","13","0","13","29","38",
"1400000US39049000810","Census Tract 8.10; Franklin County; Ohio","1195","310","224","147","32","32","111","72","228","119","224","93","106","62","151","118","119","73","927","283","177","147","13","18","100","71","169","79","192","87","69","41","110","103","97","72","74","64","21","28","0","13","0","13","7","13","15","25","0","13","31","51","0","13","23","27","18","21","5","9","0","13","0","13","0","13","0","13","0","13","0","13","10","16","0","13","0","13","0","13","0","13","10","16","0","13","0","13","0","13","37","32","0","13","0","13","11","19","11","17","0","13","0","13","0","13","15","18","124","65","8","11","14","23","0","13","41","50","7","10","37","35","10","15","7","13",
"1400000US39049000820","Census Tract 8.20; Franklin County; Ohio","2085","446","173","68","49","60","288","124","338","155","549","213","351","155","129","153","208","112","1342","401","71","45","16","19","161","108","187","109","409","186","212","101","129","153","157","104","201","156","26","34","0","13","55","72","48","53","59","87","3","7","0","13","10","23","126","91","17","30","33","54","0","13","76","70","0","13","0","13","0","13","0","13","6","12","0","13","0","13","0","13","6","12","0","13","0","13","0","13","0","13","31","40","11","18","0","13","20","35","0","13","0","13","0","13","0","13","0","13","379","167","48","37","0","13","52","58","21","28","81","56","136","137","0","13","41","32",
"1400000US39049000910","Census Tract 9.10; Franklin County; Ohio","1048","342","144","80","88","95","197","142","190","136","158","87","141","90","20","30","110","72","739","272","119","72","88","95","164","135","94","84","117","75","86","71","16","31","55","48","90","69","8","13","0","13","6","12","50","55","0","13","26","35","0","13","0","13","66","89","17","24","0","13","0","13","24","33","25","35","0","13","0","13","0","13","22","36","0","13","0","13","0","13","22","36","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","131","98","0","13","0","13","27","35","0","13","16","25","29","36","4","11","55","51",
"1400000US39049000920","Census Tract 9.20; Franklin County; Ohio","708","174","15","21","12","25","112","77","231","78","178","97","106","59","0","13","54","53","456","139","15","21","12","25","102","77","88","53","155","85","65","39","0","13","19","23","117","94","0","13","0","13","10","15","66","50","6","11","35","45","0","13","0","13","12","15","0","13","0","13","0","13","6","10","0","13","6","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","29","31","0","13","0","13","0","13","29","31","0","13","0","13","0","13","0","13","94","76","0","13","0","13","0","13","42","39","17","27","0","13","0","13","35","48",
